citation_id,source_paper,citation_raw,doi,crossref_title,crossref_authors,crossref_year,crossref_venue,ground_truth_label,ground_truth_mapping_status,annotator,notes
1706.03762_014,1706.03762,"[14] Zhongqiang Huang and Mary Harper. Self-training PCFG grammars with latent annotations across languages. In Proceedings of the 2009 Conference on Empirical Methods in Natural Language Processing, pages 832–841. ACL, August 2009.",10.3115/1699571.1699621,Self-training PCFG grammars with latent annotations across languages,Zhongqiang Huang; Mary Harper,2009,Proceedings of the 2009 Conference on Empirical Methods in Natural Language Processing Volume 2 - EMNLP '09,,,,
1706.03762_015,1706.03762,"[15] Rafal Jozefowicz, Oriol Vinyals, Mike Schuster, Noam Shazeer, and Yonghui Wu. Exploring the limits of language modeling. arXiv preprint arXiv:1602.02410, 2016.",10.1002/9781119643784.c32,Rafal Los,,2016,Tribe of Hackers Security Leaders,,,,
1706.03762_016,1706.03762,"[16] Łukasz Kaiser and Samy Bengio. Can active memory replace attention? In Advances in Neural Information Processing Systems, (NIPS), 2016.",,,,2016,,,,,
1706.03762_017,1706.03762,"[17] Łukasz Kaiser and Ilya Sutskever. Neural GPUs learn algorithms. In International Conference on Learning Representations (ICLR), 2016.",,,,2016,,,,,
1706.03762_018,1706.03762,"[18] Nal Kalchbrenner, Lasse Espeholt, Karen Simonyan, Aaron van den Oord, Alex Graves, and Ko- ray Kavukcuoglu. Neural machine translation in linear time. arXiv preprint arXiv:1610.10099v2, 2017.",10.4324/9781003624264-32,Karen Van Dyck,Lawrence Venuti,2017,The Translation Studies Reader,,,,
1706.03762_019,1706.03762,"[19] Yoon Kim, Carl Denton, Luong Hoang, and Alexander M. Rush. Structured attention networks. In International Conference on Learning Representations, 2017.",10.1109/cleopr.2001.967924,Biography - Byoung Yoon Kim,,2017,Technical Digest CLEO/Pacific Rim 2001 4th Pacific Rim Conference on Lasers and Electro-Optics (Cat No 01TH8557) CLEOPR-01,,,,
1706.03762_020,1706.03762,"[20] Diederik Kingma and Jimmy Ba. Adam: A method for stochastic optimization. In ICLR, 2015.",10.1016/s0169-8141(05)00117-4,Annoucement (Kingma),,2015,International Journal of Industrial Ergonomics,,,,
1706.03762_021,1706.03762,"[21] Oleksii Kuchaiev and Boris Ginsburg. Factorization tricks for LSTM networks. arXiv preprint arXiv:1703.10722, 2017.",10.2139/ssrn.4962925,Oleksii Nemchuk,Oleksii Nemchuk,2017,,,,,
1706.03762_022,1706.03762,"[22] Zhouhan Lin, Minwei Feng, Cicero Nogueira dos Santos, Mo Yu, Bing Xiang, Bowen Zhou, and Yoshua Bengio. A structured self-attentive sentence embedding. arXiv preprint arXiv:1703.03130, 2017.",10.24824/978652515149.6,CICERO JOAQUIM DOS SANTOS,SANTOS C.J.,2017,,,,,
1706.03762_023,1706.03762,"[23] Minh-Thang Luong, Quoc V. Le, Ilya Sutskever, Oriol Vinyals, and Lukasz Kaiser. Multi-task sequence to sequence learning. arXiv preprint arXiv:1511.06114, 2015.",10.1163/1570-6664_iyb_sim_person_52709,"Le Luong Minh,",,2015,International Year Book and Statesmen's Who's Who,,,,
1706.03762_024,1706.03762,"[24] Minh-Thang Luong, Hieu Pham, and Christopher D Manning. Effective approaches to attention- based neural machine translation. arXiv preprint arXiv:1508.04025, 2015. 11",10.1163/1570-6664_iyb_sim_person_52709,"Le Luong Minh,",,2015,International Year Book and Statesmen's Who's Who,,,,
1706.03762_025,1706.03762,"[25] Mitchell P Marcus, Mary Ann Marcinkiewicz, and Beatrice Santorini. Building a large annotated corpus of english: The penn treebank. Computational linguistics, 19(2):313–330, 1993.",10.4324/9780203398142-18,Mitchell P. Marcus,,1993,Science and the Spiritual Quest,,,,
1706.03762_026,1706.03762,"[26] David McClosky, Eugene Charniak, and Mark Johnson. Effective self-training for parsing. In Proceedings of the Human Language Technology Conference of the NAACL, Main Conference, pages 152–159. ACL, June 2006.",10.2307/1374326,Charles Eugene Johnson,,2006,Journal of Mammalogy,,,,
1706.03762_027,1706.03762,"[27] Ankur Parikh, Oscar Täckström, Dipanjan Das, and Jakob Uszkoreit. A decomposable attention model. In Empirical Methods in Natural Language Processing, 2016.",,,,2016,,,,,
1706.03762_028,1706.03762,"[28] Romain Paulus, Caiming Xiong, and Richard Socher. A deep reinforced model for abstractive summarization. arXiv preprint arXiv:1705.04304, 2017.",10.2307/3726155,Richard Strauss and Romain Rolland,Martha Lemaire Cottam; Rollo Myers,2017,The Modern Language Review,,,,
1706.03762_029,1706.03762,"[29] Slav Petrov, Leon Barrett, Romain Thibaux, and Dan Klein. Learning accurate, compact, and interpretable tree annotation. In Proceedings of the 21st International Conference on Computational Linguistics and 44th Annual Meeting of the ACL, pages 433–440. ACL, July 2006.",10.1093/gmo/9781561592630.article.j516500,"Barrett, Dan(iel Patrick)",Gary W. Kennedy,2006,Oxford Music Online,,,,
1706.03762_030,1706.03762,"[30] Ofir Press and Lior Wolf. Using the output embedding to improve language models. arXiv preprint arXiv:1608.05859, 2016.",10.1055/s-0032-1302456,"Lior Heller, M.D.",Larry Hollier,2016,Seminars in Plastic Surgery,,,,
1706.03762_031,1706.03762,"[31] Rico Sennrich, Barry Haddow, and Alexandra Birch. Neural machine translation of rare words with subword units. arXiv preprint arXiv:1508.07909, 2015.",10.1093/nq/s8-x.238.59d,Haddow,Isaac Taylor,2015,Notes and Queries,,,,
1706.03762_032,1706.03762,"[32] Noam Shazeer, Azalia Mirhoseini, Krzysztof Maziarz, Andy Davis, Quoc Le, Geoffrey Hinton, and Jeff Dean. Outrageously large neural networks: The sparsely-gated mixture-of-experts layer. arXiv preprint arXiv:1701.06538, 2017.",10.58680/ee198415054,Noam Chomsky Writes to Mrs. Davis About Grammar and Education,Noam Chomsky,2017,English Education,,,,
1706.03762_033,1706.03762,"[33] Nitish Srivastava, Geoffrey E Hinton, Alex Krizhevsky, Ilya Sutskever, and Ruslan Salakhutdi- nov. Dropout: a simple way to prevent neural networks from overfitting. Journal of Machine Learning Research, 15(1):1929–1958, 2014.",10.7551/mitpress/6626.003.0017,Geoffrey E. Hinton,,1929,Talking Nets,,,,
1706.03762_034,1706.03762,"[34] Sainbayar Sukhbaatar, Arthur Szlam, Jason Weston, and Rob Fergus. End-to-end memory networks. In C. Cortes, N. D. Lawrence, D. D. Lee, M. Sugiyama, and R. Garnett, editors, Advances in Neural Information Processing Systems 28, pages 2440–2448. Curran Associates, Inc., 2015.",10.1037/h0064480,Correspondence [from Arthur Weston].,Arthur Harold Weston,2015,The Journal of Abnormal and Social Psychology,,,,
1706.03762_035,1706.03762,"[35] Ilya Sutskever, Oriol Vinyals, and Quoc VV Le. Sequence to sequence learning with neural networks. In Advances in Neural Information Processing Systems, pages 3104–3112, 2014.",10.4000/studifrancesi.2056,"Aa. Vv., Le Doute",Maria Colombo Timelli,2014,Studi Francesi,,,,
1706.03762_036,1706.03762,"[36] Christian Szegedy, Vincent Vanhoucke, Sergey Ioffe, Jonathon Shlens, and Zbigniew Wojna. Rethinking the inception architecture for computer vision. CoRR, abs/1512.00567, 2015.",10.1007/978-3-319-47829-6_956-1,Jonathon Crystal,Jonathon D. Crystal,2015,Encyclopedia of Animal Cognition and Behavior,,,,
1706.03762_037,1706.03762,"[37] Vinyals & Kaiser, Koo, Petrov, Sutskever, and Hinton. Grammar as a foreign language. In Advances in Neural Information Processing Systems, 2015.",,,,2015,,,,,
1706.03762_038,1706.03762,"[38] Yonghui Wu, Mike Schuster, Zhifeng Chen, Quoc V Le, Mohammad Norouzi, Wolfgang Macherey, Maxim Krikun, Yuan Cao, Qin Gao, Klaus Macherey, et al. Google’s neural machine translation system: Bridging the gap between human and machine translation. arXiv preprint arXiv:1609.08144, 2016.",10.3138/cjc-50.1_episode1,Sibo Chen and Cary Wu,Sibo Chen; Cary Wu,2016,Canadian Journal of Communication,,,,
1706.03762_039,1706.03762,"[39] Jie Zhou, Ying Cao, Xuguang Wang, Peng Li, and Wei Xu. Deep recurrent models with fast-forward connections for neural machine translation. CoRR, abs/1606.04199, 2016.",10.1002/anie.202215754,Hong‐Jie Peng,,2016,Angewandte Chemie International Edition,,,,
1706.03762_040,1706.03762,"[40] Muhua Zhu, Yue Zhang, Wenliang Chen, Min Zhang, and Jingbo Zhu. Fast and accurate shift-reduce constituent parsing. In Proceedings of the 51st Annual Meeting of the ACL (Volume 1: Long Papers), pages 434–443. ACL, August 2013. 12 Attention Visualizations It is in this spirit that a majority of American governments have passed new laws since 2009 making the registration or voting process more difficult . <EOS> <pad> <pad> <pad> <pad> <pad> <pad> It is in this spirit that a majority of Americ",10.1103/physrevlett.101.099702,Zhang and Zhu Reply:,Nan Zhang; Xiaonong Zhu,2013,Physical Review Letters,,,,
1810.04805_001,1810.04805,"Alan Akbik, Duncan Blythe, and Roland Vollgraf. 2018. Contextual string embeddings for sequence labeling. In Proceedings of the 27th International Conference on Computational Linguistics, pages 1638–1649.",10.1163/1570-6664_iyb_sim_person_18082,"Duncan, Rt. Hon. Sir Alan",,2014,International Year Book and Statesmen's Who's Who,,,,
1810.04805_002,1810.04805,"Rami Al-Rfou, Dokook Choe, Noah Constant, Mandy Guo, and Llion Jones. 2018. Character-level lan- guage modeling with deeper self-attention. arXiv preprint arXiv:1808.04444. Rie Kubota Ando and Tong Zhang. 2005. A framework for learning predictive structures from multiple tasks and unlabeled data. Journal of Machine Learning Research, 6(Nov):1817–1853.",10.1093/infdis/jiab340,Reply to Choe et al,Mai-Juan Ma,2021,The Journal of Infectious Diseases,,,,
1810.04805_003,1810.04805,"Ido Dagan, Hoa Trang Dang, and Danilo Giampiccolo. 2009. The ﬁfth PASCAL recognizing textual entailment challenge. In TAC. NIST.",10.15625/1859-3097/18/2/8785,"FEATURES OF MORPHOLOGICAL CHANGE IN NHA TRANG BEACH, KHANH HOA PROVINCE",Tran Van Binh; Nguyen Dinh Dan; Bui Hong Long; Pham Ba Trung; Tran Minh Cuong; Nguyen Huu Hai,2018,Tạp chí Khoa học và Công nghệ Biển,,,,
1810.04805_004,1810.04805,"John Blitzer, Ryan McDonald, and Fernando Pereira. 2006. Domain adaptation with structural correspon- dence learning. In Proceedings of the 2006 confer- ence on empirical methods in natural language pro- cessing, pages 120–128. Association for Computa- tional Linguistics.",10.2308/0148-4184.3.2.68,JOHN McDONALD,Harvey Mann,2017,Accounting Historians Journal,,,,
1810.04805_005,1810.04805,"Samuel R. Bowman, Gabor Angeli, Christopher Potts, and Christopher D. Manning. 2015. A large anno- tated corpus for learning natural language inference. In EMNLP. Association for Computational Linguis- tics.",10.1016/j.fopow.2018.04.004,Christopher Bowman to Receive Roy W. Tess Award in Coatings,,2018,Focus on Powder Coatings,,,,
1810.04805_006,1810.04805,"Peter F Brown, Peter V Desouza, Robert L Mercer, Vincent J Della Pietra, and Jenifer C Lai. 1992. Class-based n-gram models of natural language. Computational linguistics, 18(4):467–479.",10.1017/cbo9780511609626.008,Peter Robert Lamont BROWN (2004),,2010,"Cambridge Orations, 1993–2007",,,,
1810.04805_007,1810.04805,"Daniel Cer, Mona Diab, Eneko Agirre, Inigo Lopez- Gazpio, and Lucia Specia. 2017. Semeval-2017 task 1: Semantic textual similarity multilingual and crosslingual focused evaluation. In Proceedings of the 11th International Workshop on Semantic Evaluation (SemEval-2017), pages 1–14, Vancou- ver, Canada. Association for Computational Lin- guistics.",10.2307/jj.6014267.531,Daniel Lopez,,2023,Final Words,,,,
1810.04805_008,1810.04805,"Ciprian Chelba, Tomas Mikolov, Mike Schuster, Qi Ge,",10.1007/bf03167793,Emmanuel Ciprian Amoroso,Courtenay Bartholomew,2009,Irish Journal of Medical Science,,,,
1810.04805_009,1810.04805,"Thorsten Brants, Phillipp Koehn, and Tony Robin- son. 2013. One billion word benchmark for measur- ing progress in statistical language modeling. arXiv preprint arXiv:1312.3005. Z. Chen, H. Zhang, X. Zhang, and L. Zhao. 2018. Quora question pairs. Christopher Clark and Matt Gardner. 2018. Simple and effective multi-paragraph reading comprehen- sion. In ACL.",10.1163/9789004742109_006,Régine Robin dans son terrain vague,Max Kohn,2026,Chantiers Régine Robin,,,,
1810.04805_010,1810.04805,"Kevin Clark, Minh-Thang Luong, Christopher D Man- ning, and Quoc Le. 2018. Semi-supervised se- quence modeling with cross-view training. In Pro- ceedings of the 2018 Conference on Empirical Meth- ods in Natural Language Processing, pages 1914– 1925. Ronan Collobert and Jason Weston. 2008. A uniﬁed architecture for natural language processing: Deep neural networks with multitask learning. In Pro- ceedings of the 25th international conference on Machine learning, pages 160–167. ACM.",10.1163/1570-6664_iyb_sim_person_52709,"Le Luong Minh,",,2014,International Year Book and Statesmen's Who's Who,,,,
1810.04805_011,1810.04805,"Alexis Conneau, Douwe Kiela, Holger Schwenk, Lo¨ıc Barrault, and Antoine Bordes. 2017. Supervised learning of universal sentence representations from natural language inference data. In Proceedings of the 2017 Conference on Empirical Methods in Nat- ural Language Processing, pages 670–680, Copen- hagen, Denmark. Association for Computational Linguistics. Andrew M Dai and Quoc V Le. 2015. Semi-supervised sequence learning. In Advances in neural informa- tion processing systems, pages 3079–3087. J",,,,,,,,,
1810.04805_012,1810.04805,"William Fedus, Ian Goodfellow, and Andrew M Dai. 2018. Maskgan: Better text generation via ﬁlling in the . arXiv preprint arXiv:1801.07736. Dan Hendrycks and Kevin Gimpel. 2016. Bridging nonlinearities and stochastic regularizers with gaus- sian error linear units. CoRR, abs/1606.08415.",10.1007/s10710-017-9314-z,"Ian Goodfellow, Yoshua Bengio, and Aaron Courville: Deep learning",Jeff Heaton,2017,Genetic Programming and Evolvable Machines,,,,
1810.04805_013,1810.04805,"Felix Hill, Kyunghyun Cho, and Anna Korhonen. 2016. Learning distributed representations of sentences from unlabelled data. In Proceedings of the 2016 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies. Association for Computa- tional Linguistics. Jeremy Howard and Sebastian Ruder. 2018. Universal language model ﬁne-tuning for text classiﬁcation. In ACL. Association for Computational Linguistics.",10.1090/noti1757,Felix Browder (1927-2016),Roger Temam; Roger Nussbaum; Jean Mawhin; Haim Brezis; Richard Beals; Amy Cohen; Louis Nirenberg; Henri Berestycki; Barbara Mastrian; Joel Lebowitz; Sagun Chanillo; Fred Roberts; Jerry Bona,2018,Notices of the American Mathematical Society,,,,
1810.04805_014,1810.04805,"Minghao Hu, Yuxing Peng, Zhen Huang, Xipeng Qiu, Furu Wei, and Ming Zhou. 2018. Reinforced mnemonic reader for machine reading comprehen- sion. In IJCAI.",10.4324/9781003418849-3,Peng Zhen,Pitman B. Potter,2023,China's Establishment Intellectuals,,,,
1810.04805_015,1810.04805,"Yacine Jernite, Samuel R. Bowman, and David Son- tag. 2017. Discourse-based objectives for fast un- supervised sentence representation learning. CoRR, abs/1705.00557.",10.13051/ee:bio/bowmadavid027632,David Bowman [bowmadavid027632],,2015,Electronic Enlightenment Biographical Dictionary,,,,
1810.04805_016,1810.04805,"Mandar Joshi, Eunsol Choi, Daniel S Weld, and Luke Zettlemoyer. 2017. Triviaqa: A large scale distantly supervised challenge dataset for reading comprehen- sion. In ACL.",10.1201/9781003270492-10,Rupa Joshi,Amar Rughani; Joanna Bircher,2024,Leading Primary Care,,,,
1810.04805_017,1810.04805,"Ryan Kiros, Yukun Zhu, Ruslan R Salakhutdinov,",10.1093/benz/9780199773787.article.b00201747,Zheng Yukun,,2017,Benezit Dictionary of Artists,,,,
1810.04805_018,1810.04805,"Richard Zemel, Raquel Urtasun, Antonio Torralba, and Sanja Fidler. 2015. Skip-thought vectors. In Advances in neural information processing systems, pages 3294–3302. Quoc Le and Tomas Mikolov. 2014. Distributed rep- resentations of sentences and documents. In Inter- national Conference on Machine Learning, pages 1188–1196.",10.1163/1573-3912_ei2glos_dum_gi_01392,sanja,,2014,"Encyclopaedia of Islam, Second Edition, Glossary and Index of Terms",,,,
1810.04805_019,1810.04805,"Hector J Levesque, Ernest Davis, and Leora Morgen- stern. 2011. The winograd schema challenge. In Aaai spring symposium: Logical formalizations of commonsense reasoning, volume 46, page 47. Lajanugen Logeswaran and Honglak Lee. 2018. An efﬁcient framework for learning sentence represen- tations. In International Conference on Learning Representations.",10.1093/benz/9780199773787.article.b00131135,"Noël, Ernest Hector",,2018,Benezit Dictionary of Artists,,,,
1810.04805_020,1810.04805,"Bryan McCann, James Bradbury, Caiming Xiong, and Richard Socher. 2017. Learned in translation: Con- textualized word vectors. In NIPS.",10.3318/dib.005569.v1,"McCann, James",Sinéad Sturgeon; Georgina Clinton,2022,Dictionary of Irish Biography,,,,
1810.04805_021,1810.04805,"Oren Melamud, Jacob Goldberger, and Ido Dagan. 2016. context2vec: Learning generic context em- bedding with bidirectional LSTM. In CoNLL.",10.1007/s11615-004-0065-0,"Oren, Ido: Our enemies &amp; us. America’s rivalries and the making of political science",Christian Büger,2007,Politische Vierteljahresschrift,,,,
1810.04805_022,1810.04805,"Tomas Mikolov, Ilya Sutskever, Kai Chen, Greg S Cor- rado, and Jeff Dean. 2013. Distributed representa- tions of words and phrases and their compositional- ity. In Advances in Neural Information Processing Systems 26, pages 3111–3119. Curran Associates, Inc. Andriy Mnih and Geoffrey E Hinton. 2009. A scal- able hierarchical distributed language model. In D. Koller, D. Schuurmans, Y. Bengio, and L. Bot- tou, editors, Advances in Neural Information Pro- cessing Systems 21, pages 1081–1088. Curran ",10.1002/ange.201902932,David Yu‐Kai Chen,,2019,Angewandte Chemie,,,,
1810.04805_023,1810.04805,"Ankur P Parikh, Oscar T¨ackstr¨om, Dipanjan Das, and Jakob Uszkoreit. 2016. A decomposable attention model for natural language inference. In EMNLP.",,,,,,,,,
1810.04805_024,1810.04805,"Jeffrey Pennington, Richard Socher, and Christo- pher D. Manning. 2014. Glove: Global vectors for word representation. In Empirical Methods in Nat- ural Language Processing (EMNLP), pages 1532– 1543.",10.1038/sj.bdj.2018.574,Richard Pennington,Barry Clayton,2018,British Dental Journal,,,,
1810.04805_025,1810.04805,"Matthew Peters, Waleed Ammar, Chandra Bhagavat- ula, and Russell Power. 2017. Semi-supervised se- quence tagging with bidirectional language models. In ACL.",10.1093/nq/s8-i.8.149f,Matthew peters,W. L. Webb,2018,Notes and Queries,,,,
1810.04805_026,1810.04805,"Matthew Peters, Mark Neumann, Mohit Iyyer, Matt",10.1093/nq/s8-i.8.149f,Matthew peters,W. L. Webb,2018,Notes and Queries,,,,
1810.04805_027,1810.04805,"Gardner, Christopher Clark, Kenton Lee, and Luke Zettlemoyer. 2018a. Deep contextualized word rep- resentations. In NAACL.",10.1163/156853214x00375,Christopher Thomas Gardner,,2008,T'oung Pao,,,,
1810.04805_028,1810.04805,"Matthew Peters, Mark Neumann, Luke Zettlemoyer, and Wen-tau Yih. 2018b. Dissecting contextual word embeddings: Architecture and representation. In Proceedings of the 2018 Conference on Empiri- cal Methods in Natural Language Processing, pages 1499–1509.",10.1177/0040571x3803621513,"Matthew, Mark and Luke",J. M. C. Crum,2018,Theology,,,,
1810.04805_029,1810.04805,"Alec Radford, Karthik Narasimhan, Tim Salimans, and Ilya Sutskever. 2018. Improving language under- standing with unsupervised learning. Technical re- port, OpenAI.",10.1016/s0140-6736(25)00465-9,Tim Radford,Jacqui Thornton,2025,The Lancet,,,,
1810.04805_030,1810.04805,"Pranav Rajpurkar, Jian Zhang, Konstantin Lopyrev, and Percy Liang. 2016. Squad: 100,000+ questions for machine comprehension of text. In Proceedings of the 2016 Conference on Empirical Methods in Nat- ural Language Processing, pages 2383–2392.",10.1080/00094633.2004.11039489,"Hu Shi, Zhang Jian, and Zhang Jian's Son",ZHANG KAIYUAN,2018,Chinese Studies in History,,,,
1810.04805_031,1810.04805,"Minjoon Seo, Aniruddha Kembhavi, Ali Farhadi, and Hannaneh Hajishirzi. 2017. Bidirectional attention ﬂow for machine comprehension. In ICLR.",10.1007/978-94-024-0852-2_100052,Aniruddha,,2017,Encyclopedia of Indian Religions,,,,
1810.04805_032,1810.04805,"Richard Socher, Alex Perelygin, Jean Wu, Jason",10.1093/benz/9780199773787.article.b00175603,"Steriadi, Jean Alex",,2017,Benezit Dictionary of Artists,,,,
1810.04805_033,1810.04805,"Chuang, Christopher D Manning, Andrew Ng, and Christopher Potts. 2013. Recursive deep models for semantic compositionality over a sentiment tree- bank. In Proceedings of the 2013 conference on empirical methods in natural language processing, pages 1631–1642.",10.1093/oseo/instance.00004766,2274 To Andrew and Christopher of Conritz.,Desiderius Erasmus Roterodamus,2012,"Opus Epistolarum Des. Erasmi Roterodami, Vol. 8: 1529–1530",,,,
1810.04805_034,1810.04805,"Fu Sun, Linyang Li, Xipeng Qiu, and Yang Liu. 2018. U-net: Machine reading comprehension with unanswerable questions. arXiv preprint arXiv:1810.06638. Wilson L Taylor. 1953. Cloze procedure: A new tool for measuring readability. Journalism Bulletin, 30(4):415–433. Erik F Tjong Kim Sang and Fien De Meulder. 2003. Introduction to the conll-2003 shared task: Language-independent named entity recognition. In CoNLL.",10.1515/9783110968187.590,Fu-Li,,2011,World Guide to Foundations,,,,
1810.04805_035,1810.04805,"Joseph Turian, Lev Ratinov, and Yoshua Bengio. 2010. Word representations: A simple and general method for semi-supervised learning. In Proceedings of the 48th Annual Meeting of the Association for Compu- tational Linguistics, ACL ’10, pages 384–394.",10.1007/s10710-017-9314-z,"Ian Goodfellow, Yoshua Bengio, and Aaron Courville: Deep learning",Jeff Heaton,2017,Genetic Programming and Evolvable Machines,,,,
1810.04805_036,1810.04805,"Ashish Vaswani, Noam Shazeer, Niki Parmar, Jakob",10.1021/cen-09533-cover9,Ashish Kulkarni,Celia Arnaud,2017,C&amp;EN Global Enterprise,,,,
1810.04805_037,1810.04805,"Uszkoreit, Llion Jones, Aidan N Gomez, Lukasz Kaiser, and Illia Polosukhin. 2017. Attention is all you need. In Advances in Neural Information Pro- cessing Systems, pages 6000–6010.",10.1007/978-3-662-69849-5_6,Procurement - Lukasz Urner,Sandra Ohly; Nico Harhoff; Alana Hindeyeh; Paulina Schönne; Elisabeth Maria Bitter; Lukasz Urner; Didem Sedefoglu,2024,Arbeitsgestaltung in Zeiten von Digitalisierung und Homeoffice,,,,
1810.04805_038,1810.04805,"Pascal Vincent, Hugo Larochelle, Yoshua Bengio, and Pierre-Antoine Manzagol. 2008. Extracting and composing robust features with denoising autoen- coders. In Proceedings of the 25th international conference on Machine learning, pages 1096–1103. ACM.",10.1007/s10710-017-9314-z,"Ian Goodfellow, Yoshua Bengio, and Aaron Courville: Deep learning",Jeff Heaton,2017,Genetic Programming and Evolvable Machines,,,,
1810.04805_039,1810.04805,"Alex Wang, Amanpreet Singh, Julian Michael, Fe- lix Hill, Omer Levy, and Samuel Bowman. 2018a. Glue: A multi-task benchmark and analysis platform for natural language understanding. In Proceedings of the 2018 EMNLP Workshop BlackboxNLP: An- alyzing and Interpreting Neural Networks for NLP, pages 353–355.",10.1093/acref/9780195301731.013.78926,"Conley, Michael Alex",Adam R. Hornbuckle,2021,African American Studies Center,,,,
1810.04805_040,1810.04805,"Wei Wang, Ming Yan, and Chen Wu. 2018b. Multi- granularity hierarchical attention fusion networks for reading comprehension and question answering. In Proceedings of the 56th Annual Meeting of the As- sociation for Computational Linguistics (Volume 1: Long Papers). Association for Computational Lin- guistics.",10.1016/j.tips.2012.06.004,An interview with Ming-Wei Wang,,2012,Trends in Pharmacological Sciences,,,,
1810.04805_041,1810.04805,"Alex Warstadt, Amanpreet Singh, and Samuel R Bow- man. 2018. Neural network acceptability judg- ments. arXiv preprint arXiv:1805.12471.",10.1177/002205741908900407,Sing We the Song of the Bow: II Samuel 1:22,William Allen Knight,2019,Journal of Education,,,,
